Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
Pioneer 0 (Able I)[3],Pioneer 0,17-08-1958,Thor DM-18 Able,USAF,Orbiter,First attempted launch beyond Earth orbit; failed to orbit due to turbopump gearbox malfunction resulting in first-stage explosion.[3] Reached apogee of 16 kilometres (10 mi).[4]
Luna E-1 No.1,Luna E-1 No.1,23-09-1958,Luna,OKB-1,Impactor,Failed to orbit; rocket disintegrated due to excessive vibration.[3][5]
Pioneer 1 (Able II)[3],Pioneer 1,11-10-1958,Thor DM-18 Able,NASA,Orbiter,"Failed to orbit; premature second-stage cutoff due to accelerometer failure. Later known as Pioneer 1.[3] Reached apogee of 113,800 kilometres (70,700 mi).[6]"
Luna E-1 No.2,Luna E-1 No.2,11-10-1958,Luna,OKB-1,Impactor,Failed to orbit; carrier rocket exploded due to excessive vibration.[3][5]
Pioneer 2 (Able III),Pioneer 2,08-11-1958,Thor DM-18 Able,NASA,Orbiter,"Failed to orbit; premature second-stage cutoff due to erroneous command by ground controllers; third stage failed to ignite due to broken electrical connection.[3] Reached apogee of 1,550 kilometres (960 mi).[7]"
Luna E-1 No.3,Luna E-1 No.3,04-12-1958,Luna,OKB-1,Impactor,Failed to orbit; seal failure in hydrogen peroxide pump cooling system resulted in core-stage underperformance.[3][5]
Pioneer 3,Pioneer 3,06-12-1958,Juno II,NASA,Flyby,"Failed to orbit; premature first-stage cutoff.[3] Reached apogee of 102,360 kilometres (63,600 mi).[8]"
Luna 1 (E-1 No.4),Luna 1,02-01-1959,Luna,OKB-1,Impactor,"Carrier rocket guidance problem resulted in failure to impact Moon, flew past in a heliocentric orbit.[9] Closest approach 5,995 kilometres (3,725 mi) on 4 January.[10] First spacecraft to fly by the Moon."
Pioneer 4,Pioneer 4,03-03-1959,Juno II,NASA,Flyby,"Second-stage overperformance resulted in flyby at greater altitude than expected, out of instrument range, with 58,983 kilometres (36,650 mi) of distance.[9] Closest approach at 22:25 UTC on 4 March. First U.S. spacecraft to leave Earth orbit.[11]"
E-1A No.1,E-1A No.1,18-06-1959,Luna,OKB-1,Impactor,Failed to orbit; guidance system malfunction.[9]
Luna 2 (E-1A No.2),Luna 2,12-09-1959,Luna,OKB-1,Impactor,Successful impact at 21:02 on 14 September 1959. First spacecraft to reach lunar surface.[12] The impact made the Soviet Union the 1st country to reach the surface of the Moon.
Luna 3 (E-2A No.1),Luna 3,04-10-1959,Luna,OKB-1,Flyby,Returned first images of the far side of the Moon.[13]
Pioneer P-3 Able IVB,Pioneer P-3,26-11-1959,Atlas-D Able,NASA,Orbiter,Failed to orbit;[14] payload fairing disintegrated due to design fault.[9]
Luna E-3 No.1,Luna E-3 No.1,15-04-1960,Luna,OKB-1,Flyby,Failed to orbit; premature third-stage cutoff.[15]
Luna E-3 No.2,Luna E-3 No.2,16-04-1960,Luna,OKB-1,Flyby,Failed to orbit; rocket disintegrated ten seconds after launch.[15]
Pioneer P-30 (Able VA),Pioneer P-30,25-09-1960,Atlas-D Able,NASA,Orbiter,Failed to orbit; second-stage oxidizer system malfunction resulting in premature cutoff.[16][15]
Pioneer P-31 (Able VB),Pioneer P-31,15-12-1960,Atlas-D Able,NASA,Orbiter,"Failed to orbit, exploded 68 seconds after launch, at an altitude of 12.2 kilometres (7.6 mi). Second stage ignited while first stage was still attached and burning.[17][15]"
Ranger 3 (P-34),Ranger 3,26-01-1962,Atlas LV-3 Agena-B,NASA,Impactor,"Partial launch failure due to guidance problem; attempt to correct using spacecraft's engine resulted in it missing the Moon by 36,793 kilometres (22,862 mi).[18][19]"
Ranger 3 (P-34),Ranger 3 lander,26-01-1962,Atlas LV-3 Agena-B,NASA,Lander,"Failed to deploy solar panels, ran out of power ten hours after launch; incidental impact on the far side of the Moon on 26 April. First spacecraft to impact the far side of the Moon.[18][20] The impact made the United States the 2nd country to reach the surface of the Moon."
Ranger 4 (P-35),Ranger 4,23-04-1962,Atlas LV-3 Agena-B,NASA,Impactor,"Solar panels erroneously disengaged from power system, failed .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);clip-path:polygon(0px 0px,0px 0px,0px 0px);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}8+3⁄4 hours after launch when batteries were depleted.[18] Missed the Moon as course correction was not completed.[21]"
Ranger 4 (P-35),Ranger 4 lander,23-04-1962,Atlas LV-3 Agena-B,NASA,Lander,Failed to depart Low Earth orbit;[22] guidance system power failure prevented upper-stage ignition.[23]
Ranger 5 (P-36),Ranger 5,18-10-1962,Atlas LV-3 Agena-B,NASA,Impactor,Failed to orbit; guidance failure.[23]
Ranger 5 (P-36),Ranger 5 lander,18-10-1962,Atlas LV-3 Agena-B,NASA,Lander,"Failed to perform mid-course correction,[23] remained in high Earth orbit until given escape velocity by orbital perturbation.[24]"
Luna E-6 No.2,Luna E-6 No.2,04-01-1963,Molniya-L,OKB-1,Lander,"Impacted on 2 February 1964, failed to return images due to power system failure.[25][26]"
Luna E-6 No.3,Luna E-6 No.3,03-02-1963,Molniya-L,OKB-1,Lander,Failed to orbit; third stage underperformed due to oxidiser valve failure.[25]
Luna 4 (E-6 No.4),Luna 4,02-04-1963,Molniya-L,OKB-1,Lander,Failed to orbit; power failure caused by broken connection resulted in premature third-stage cutoff.[25]
Ranger 6 (P-54),Ranger 6,30-01-1964,Atlas LV-3 Agena-B,NASA,Impactor,Impacted on 30 July 1964 at 13:25:48 UTC.[27]
Luna E-6 No.6,Luna E-6 No.6,21-03-1964,Molniya-M,OKB-1,Lander,Impacted on 20 February 1965 at 09:57:37 UTC.[28][29]
Luna E-6 No.5,Luna E-6 No.5,20-04-1964,Molniya-M,OKB-1,Lander,"Upper stage failed to restart due to guidance system short circuit,[28] Failed to depart low Earth orbit.[30]"
Ranger 7,Ranger 7,28-07-1964,Atlas LV-3 Agena-B,NASA,Impactor,Impacted on 24 March 1965 at 14:08:20 UTC.[28][31]
Ranger 8,Ranger 8,17-02-1965,Atlas LV-3 Agena-B,NASA,Impactor,"Third stage failed to ignite due to loss of oxidiser pressure, failed to orbit.[28]"
Kosmos 60 (E-6 No.9),Kosmos 60,12-03-1965,Molniya-L,Lavochkin,Lander,"Loss of control after gyroscope malfunction,[28] failed to decelerate for landing and impacted the Moon at 19:10 UTC on 12 May 1965.[32]"
Ranger 9,Ranger 9,21-03-1965,Atlas LV-3 Agena-B,NASA,Impactor,"Engine failed to shut down after performing mid-course correction manoeuvre,[28] flew past the Moon in a heliocentric orbit.[33]"
Luna E-6 No.8,Luna E-6 No.8,10-04-1965,Molniya-L,Lavochkin,Lander,"Flew past the Moon on 20 July 1965 at a distance of 9,200 kilometres (5,700 mi).[34] Conducted technology demonstration for future planetary missions.[28]"
Luna 5 (E-6 No.10),Luna 5,09-05-1965,Molniya-M,Lavochkin,Lander,Attitude control failure shortly before landing prevented controlled descent; impacted the lunar surface 22:08:24 UTC on 7 October 1965.[28][35]
Luna 6 (E-6 No.7),Luna 6,08-06-1965,Molniya-M,Lavochkin,Lander,"Landing airbag punctured, resulting in loss of attitude control shortly before planned touchdown,[28] impacted Moon on 6 December 1965 at 21:51:30 UTC.[36]"
Zond 3 (3MV-4 No.3),Zond 3,18-07-1965,Molniya,Lavochkin,Flyby,First spacecraft to land successfully on the Moon. Touchdown on 3 February 1966 at 18:45:30 UTC.[37] Returned data until 6 February at 22:55 UTC.[38]
Luna 7 (E-6 No.11),Luna 7,04-10-1965,Molniya,Lavochkin,Lander,Upper stage lost attitude control and failed to ignite;[38] spacecraft never left low Earth orbit.[39]
Luna 8 (E-6 No.12),Luna 8,03-12-1965,Molniya,Lavochkin,Lander,"Entered orbit at 18:44 UTC on 3 April 1966, becoming the first spacecraft to orbit the Moon.[40] Continued to return data until 30 May.[38]"
Luna 9 (E-6 No.13),Luna 9,31-01-1966,Molniya-M,Lavochkin,Lander,Landed in Oceanus Procellarum on 2 June 1966 at 06:17:36 UTC.[38] Returned data until loss of power on 13 July.[41]
Kosmos 111 (E-6S No.204),Kosmos 111,01-03-1966,Molniya-M,Lavochkin,Orbiter,"Magnetospheric probe; rocket imparted greater velocity than had been planned, leaving spacecraft unable to enter orbit.[38] Repurposed for Earth orbit mission which was completed successfully.[42]"
Luna 10 (E-6S No.206),Luna 10,31-03-1966,Molniya-M,Lavochkin,Orbiter,"Orbital insertion at around 15:36 UTC on 14 August. Deorbited early due to lack of fuel and to avoid communications interference with the next mission, impacted the Moon at 13:30 UTC on 29 October 1966.[43]"
Surveyor 1,Surveyor 1,30-05-1966,Atlas LV-3C Centaur-D,NASA,Lander,"Entered orbit on 28 August 1966. Failed to return images; other instruments operated correctly.[38] Conducted gamma ray and X-ray observations to study the composition of the Moon, investigated the lunar gravitational field, the presence of meteorites in the lunar environment and the radiation environment at the Moon. Ceased operation on 1 October 1966 after power was depleted.[44]"
Explorer 33 (AIMP-D),Explorer 33,01-07-1966,Delta E1,NASA,Orbiter,"One thruster failed to ignite during mid-course correction manoeuvre, resulting in loss of control.[38] Impacted the Moon at 03:18 UTC on 23 September 1966.[45]"
Lunar Orbiter 1,Lunar Orbiter 1,10-08-1966,Atlas SLV-3 Agena-D,NASA,Orbiter,Entered orbit on 25 October 1966 and returned data until 19 January 1967.[46] Completed photography mission intended for Luna 11.[38]
Luna 11 (E-6LF No.101),Luna 11,21-08-1966,Molniya-M,Lavochkin,Orbiter,Entered orbit at about 19:51 UTC on 10 November 1966 to begin photographic mapping mission. Impacted on the far side of the lunar surface following deorbit burn on 11 October 1967 at end of mission.[47]
Surveyor 2,Surveyor 2,20-09-1966,Atlas LV-3C Centaur-D,NASA,Lander,Successfully landed in Oceanus Procellarum at 18:01 UTC on 24 December 1966.[38] Returned images from the surface and studied the lunar soil.[48] Operated until depletion of power at 06:31 UTC on 28 December.[38]
Luna 12 (E-6LF No.102),Luna 12,22-10-1966,Molniya-M,Lavochkin,Orbiter,Entered orbit at 21:54 UTC on 8 February 1967. Deorbited at end of mission and impacted the Moon on 9 October 1967.[49]
Lunar Orbiter 2,Lunar Orbiter 2,06-11-1966,Atlas SLV-3 Agena-D,NASA,Orbiter,"Landed at 00:04 UTC on 20 April 1967 and operated until 3 May.[50][51] Visited by Apollo 12 astronauts in 1969, with some parts removed for return to Earth.[52]"
Luna 13 (E-6M No.205),Luna 13,21-12-1966,Molniya-M,Lavochkin,Lander,"Entered orbit at 21:54 UTC on 8 May 1967, operated until 17 July. Decayed from orbit, with lunar impact occurring on 6 October 1967.[50][53]"
Lunar Orbiter 3,Lunar Orbiter 3,05-02-1967,Atlas SLV-3 Agena-D,NASA,Orbiter,"Contact with spacecraft lost at 02:03 UTC on 17 July, two and a half minutes before scheduled landing.[50] NASA determined that the spacecraft may have exploded, otherwise it impacted the Moon.[54]"
Surveyor 3,Surveyor 3,17-04-1967,Atlas LV-3C Centaur-D,NASA,Lander,"Magnetospheric probe, studying the Moon and interplanetary space. Deactivated on 27 June 1973.[55] Presumed to have impacted the Moon during the 1970s.[56]"
Lunar Orbiter 4,Lunar Orbiter 4,04-05-1967,Atlas SLV-3 Agena-D,NASA,Orbiter,"Final mission in the Lunar Orbiter series, entered selenocentric orbit on 5 August at 16:48 UTC and conducted a photographic survey until 18 August. Deorbited and impacted the Moon on 31 January 1968.[57]"
Surveyor 4,Surveyor 4,14-07-1967,Atlas LV-3C Centaur-D,NASA,Lander,Landed in Mare Tranquillitatis at 00:46:44 UTC on 11 September. Last signals received at 04:30 UTC on 17 December 1967.[58]
Explorer 35 (AIMP-E),Explorer 35 (AIMP-E),19-07-1967,Delta E1,NASA,Orbiter,Technology demonstration for planned crewed missions. Failed to reach orbit after a blocked propellant line caused one of the first-stage engines to not ignite.[50]
Lunar Orbiter 5,Lunar Orbiter 5,01-08-1967,Atlas SLV-3 Agena-D,NASA,Orbiter,"Landed in Sinus Medii at 01:01:04 UTC on 10 November.[50] Made brief flight from lunar surface at 10:32 UTC on 17 November, followed by second landing after travelling 2.4 metres (7 ft 10 in). Last contact at 19:14 UTC on 14 December.[59]"
